,user_id,state,review_count
0,l6BmjZMeQD3rDxWUbiAiow,OH,2
0,4XChL029mKr5hydo79Ljxg,AZ,12
0,bc8C_eETBWL0olvFSJJd0w,NV,14
0,dD0gZpBctWGdWo9WlGuhlA,NV,1
0,MM4RJAeH6yuaN8oZDSt0RA,AZ,4
1,MM4RJAeH6yuaN8oZDSt0RA,WI,1
0,TEtzbpgA2BFBrC0y0sCbfw,NV,11
0,KGuqerdeNhxzXZEyBaqqSw,NV,5
0,T0gWkTHWRChVUe_Dn1F8nw,NV,6
0,NQffx45eJaeqhFcMadKUQA,NV,69
1,NQffx45eJaeqhFcMadKUQA,TX,1
0,gvXtMj3XuPr0xHjgmlmtng,ON,6
0,_DaFdmq0gtXf1spn1qC_1Q,AZ,55
0,FTWKZZeLb_0ZJRXQg8WADw,NV,3
0,US0VOSMFs9U0Nkl5Vx1EzA,PA,5
0,fktnDzpjYBUG5a-w_xq01A,NV,2
0,iPJAN6rJHv92WE2h9b3lAA,NV,6
0,AWCY8laHjH0-3HMT0LGpUA,OH,1
1,AWCY8laHjH0-3HMT0LGpUA,PA,4
0,CXi7I5J-ItLGJNyKPkI5gA,NV,5
0,3TJcP0stfxjWGsLuGQgQdg,NV,1
0,hQ98T_hy1CoSWw55zA49VQ,NC,17
0,zzpgpo54-_P-4rzzBtOuLQ,NV,4
0,pU6GoRTcl1rIOi6zMynjog,AZ,5
1,pU6GoRTcl1rIOi6zMynjog,NV,35
2,pU6GoRTcl1rIOi6zMynjog,ON,9
0,Ps_zkoSnuv2Gy-QIt0jEJg,NC,4
1,Ps_zkoSnuv2Gy-QIt0jEJg,NV,4
0,_ICqwy7SW8J6OJBab1HkwA,NV,1
1,_ICqwy7SW8J6OJBab1HkwA,ON,9
0,J9HamWsxKorlPGUAXy-M9Q,AZ,2
1,J9HamWsxKorlPGUAXy-M9Q,NV,16
0,t8Whyn2ZWS34TxHsr2mpbg,NV,2
0,nRagjGVuSALgQ4KfGLn8Ig,AZ,2
0,djQLJTLA4Tx7TpzYCKIqJQ,NC,3
0,xxhjX14h8cQyKSuTQFy1Lg,NV,7
0,a643pisN3QSjofk1Jmlo_Q,AZ,2
0,DvIlmSleoauEoR3fY0Kf5w,AZ,1
1,DvIlmSleoauEoR3fY0Kf5w,NV,4
0,t-nB38eHbeFuabXBdJMwvg,AZ,2
1,t-nB38eHbeFuabXBdJMwvg,OH,6
0,3gniF5P3L_WcoR8zx7wXxA,AZ,1
0,ICwMfseYkrB0ZEK8tDUOHw,AZ,6
1,ICwMfseYkrB0ZEK8tDUOHw,WI,12
0,eSlOI3GhroEtcbaD_nFXJQ,AZ,13
1,eSlOI3GhroEtcbaD_nFXJQ,NC,2
2,eSlOI3GhroEtcbaD_nFXJQ,NV,11
0,27wlLX7e52vVEvNA4Ksccw,NV,1
1,27wlLX7e52vVEvNA4Ksccw,PA,10
2,27wlLX7e52vVEvNA4Ksccw,WI,2
0,QiDtS54JwTGeH81c-a84WQ,NV,15
0,rnU1EFMSnVJGrQxrnjaODg,AZ,5
1,rnU1EFMSnVJGrQxrnjaODg,NV,21
2,rnU1EFMSnVJGrQxrnjaODg,ON,1
3,rnU1EFMSnVJGrQxrnjaODg,WI,1
0,AsYMm_O4H-mwmWbmeACDHw,NV,9
1,AsYMm_O4H-mwmWbmeACDHw,ON,65
0,tj_j9-8YwYZ7ohOsQD5H_w,NV,6
0,NmC_ZemjAQ6TvzgeaAuTmA,NC,55
1,NmC_ZemjAQ6TvzgeaAuTmA,SC,1
0,NcUMNz6tAahD6mDmuKwYIA,NV,38
0,gvKlBHFA6VXb9AksWcPMjw,NV,47
1,gvKlBHFA6VXb9AksWcPMjw,TX,1
0,WnwpWcNcJhHi39gdIUfJuQ,AZ,29
1,WnwpWcNcJhHi39gdIUfJuQ,NV,2
0,2Bcq1i1ndSyvYDS8Zn2Oew,AZ,3
1,2Bcq1i1ndSyvYDS8Zn2Oew,NV,3
0,gTAMqkDSj8z84XN8YvsSJg,NC,1
1,gTAMqkDSj8z84XN8YvsSJg,SC,2
0,d7D4dYzF6THtOx9imf-wPw,AZ,2
1,d7D4dYzF6THtOx9imf-wPw,IL,4
2,d7D4dYzF6THtOx9imf-wPw,NV,1
3,d7D4dYzF6THtOx9imf-wPw,OH,3
4,d7D4dYzF6THtOx9imf-wPw,ON,4
0,aQCbHG-3LG6GPLLsf984Rw,NV,14
1,aQCbHG-3LG6GPLLsf984Rw,TX,1
0,1a36KbE7XH31Uo4fkmdkqQ,NV,10
0,tAgzrWAxZivvK8-KqPzNCg,ON,2
0,DFL9Xl-tS1MH4ZAPchYmjA,NV,9
0,jx-BchSqX2PlnMflR62Urw,NV,4
1,jx-BchSqX2PlnMflR62Urw,QC,3
0,7wFpWiJMxePaaGiL_c-_IQ,NV,15
0,_HyT6uRsg8PbCd7nuJA0fA,NV,6
0,i3dgAM1hWY9UdUCNMDnLXQ,NV,54
0,uF5V6WYHa38TJU9LFQyjFQ,AZ,41
0,Z_ZkQgFtL2skSyZ9_9NUaQ,AZ,6
0,bURBDO2lgSrxnth2P7v3Gw,NV,16
0,o4XHXgKL_UW9g5BV3WZZpA,NV,3
1,o4XHXgKL_UW9g5BV3WZZpA,ON,1
0,C5pmvrZVeD9jEVWBiyIwzQ,AZ,1
0,A7wZ9ajdlhbMeGIGAlUIbQ,AZ,22
0,wud3mpvvW5yoSB_ZjS-Oig,NV,4
0,e67TGUfNnz04A1Ahd0tF2A,NC,19
0,4TCOItk-gIJROyNA5ftZ-Q,NC,2
1,4TCOItk-gIJROyNA5ftZ-Q,QC,9
0,bZURgbxLW7VHiqk45cafLA,AZ,5
0,jNCv2b6bTP-J-cA_ESbW2w,NV,1
0,6CVEGPmmgCH4PDGUbeBpKw,NV,8
0,6e9rJKQC3n0RSKyHLViL-Q,NV,1
